立体标定输出文件,score,0.06497678,grid,8.00000000
head,cam1,cam2
Cx,1057.03311717,1035.41891254
Cy,791.27864921,796.36797829
Fx,4784.89478876,4786.80963958
Fy,4785.11102834,4786.56858117
Fs,0.00000000,0.00000000
K1,88.53736208,-18.50151893
K2,30.57462028,-2.43369489
P1,0.00002947,0.00054864
P2,0.00081074,-0.00118089
K3,-59.45731575,1.99100931
K4,88.57527660,-18.51300277
K5,24.78590737,-1.89756003
K6,66.08502573,-2.27878746
Alpha,0,0.03357554
Betar,0,-0.45939050
Gamma,0,0.08324427
Tx,0,181.29958432
Ty,0,12.14942647
Tz,0,68.58872387
