立体标定输出文件,score,0.04478703,grid,1.00000000
head,cam1,cam2
Cx,1048.56792055,966.23333463
Cy,739.74827960,728.01427106
Fx,16591.68209199,17002.93123189
Fy,16590.85290119,17004.05281970
Fs,0.00000000,0.00000000
K1,-4.10562832,0.88023504
K2,-77.69179622,-7.93039384
P1,0.00000000,0.00000000
P2,0.00000000,0.00000000
K3,-0.23781795,-0.01024678
K4,-4.23488016,0.89619151
K5,77.69666154,7.92794637
K6,0.23784631,0.01024310
Alpha,0,-0.00674768
Betar,0,0.50171653
Gamma,0,-0.01717837
Tx,0,-200.93297044
Ty,0,0.87175876
Tz,0,66.70704441
