立体标定输出文件,score,0.05697286,grid,1.00000000
head,cam1,cam2
Cx,887.46890375,1040.96069860
Cy,796.36155015,754.80728673
Fx,16975.39145557,17187.15779535
Fy,16957.50470581,17179.32172682
Fs,0.00000000,0.00000000
K1,-0.81301764,1.19360773
K2,-14.72392336,-42.90799433
P1,0.00000000,0.00000000
P2,0.00000000,0.00000000
K3,-0.02918384,-0.09693322
K4,-0.77853948,1.13565254
K5,14.72089532,42.90756349
K6,0.02917964,0.09693269
Alpha,0,-0.01631642
Betar,0,0.55337812
Gamma,0,-0.02024834
Tx,0,-220.75544630
Ty,0,-2.99776923
Tz,0,65.68361515
